지역,구분,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
국가,총배출량,"292,190.35","315,459.80","343,481.57","378,674.17","403,690.03","433,892.37","470,463.21","502,115.45","431,531.81","469,518.96","502,865.87","516,143.48","538,627.47","548,987.64","557,255.12","560,923.34","567,309.24","580,751.92","593,853.57","597,982.54","656,322.62","684,929.54","688,308.06","697,383.69","691,932.56","692,514.57","693,534.82","709,749.97","727,633.30"
국가,순배출량,"254,403.96","281,908.07","310,858.72","347,852.77","370,777.55","402,969.63","436,105.51","463,070.96","383,932.48","414,153.86","444,464.04","458,289.23","483,026.08","493,969.15","501,021.70","506,784.72","512,090.92","524,851.97","537,054.54","541,599.37","602,476.62","632,323.87","641,310.68","654,848.71","648,650.44","648,153.41","647,975.18","668,261.96","686,348.19"
서울,총배출량,25397.12157,26857.01567,27463.73948,29057.042,30613.61363,34430.79232,37304.48802,37885.80782,31328.23596,34135.86633,33428.44693,32470.75713,33902.04421,33254.86377,33176.66731,32523.8143,31357.79183,33419.58102,30983.38178,30814.85892,32372.64391,34353.99073,32223.51077,31342.20077,29756.33152,29846.49582,29846.73143,29619.84132,29368.04661
서울,순배출량,25369.88049,26816.86088,27498.52467,29087.78743,30658.01696,34377.1153,37262.5258,37833.98727,31283.44952,34068.23903,33348.82394,32385.47989,33799.08656,33132.89721,32923.22192,32266.07895,31092.50865,33407.2107,30989.73121,30830.56363,32158.52929,34108.70427,32004.56186,31253.20399,29678.5312,29809.65135,29794.12849,29582.1561,29272.46761
부산,총배출량,10161.23659,10930.37495,12024.55086,12787.00856,13405.03536,14469.9795,14960.66545,14554.57013,11330.71434,12272.44166,13137.47278,13322.95574,14280.54867,14278.12877,16069.15903,15469.08359,15408.57223,16144.29725,15540.98045,14548.8443,18871.73559,15714.77191,16323.13242,16904.54631,15859.93954,14182.18422,14636.21581,13804.01154,15692.44791
부산,순배출량,9741.253602,10486.75225,11868.74353,12636.12695,13249.01903,13810.1029,14151.59201,13748.5173,10951.46948,11704.69178,12562.38775,12746.38466,13971.67709,13959.18025,15732.83482,15159.39257,15178.3624,15724.02278,15126.59591,14054.67366,18564.80712,15347.96253,16051.19325,16750.54141,15855.97001,14166.68183,14539.61023,13629.88329,15480.07982
대구,총배출량,7885.78183,7825.358869,7998.590462,8557.905207,8649.811116,9640.01726,11004.65361,11208.01153,9341.83433,10333.17201,11078.01244,10121.844,10258.1279,10080.11924,9593.277233,9293.568369,9097.006024,8896.936731,8911.4104,8715.69335,9407.225542,9509.204233,9376.802888,8940.716053,8755.849951,9724.706477,9741.934167,9465.588597,9342.291124
대구,순배출량,7694.096576,7691.436173,7866.769142,8416.026256,8516.321875,8806.36216,10087.9472,10242.97237,8451.143536,9457.990901,10173.23175,9758.006864,9872.150106,9685.659334,9184.902763,8873.461404,8639.915537,8421.113307,8384.789854,8178.63051,8640.815766,8779.828647,8646.223519,8427.796806,8190.989224,9332.474869,9374.778081,9190.348655,9030.864926
인천,총배출량,11185.39968,11584.34836,15234.77025,18224.17734,18991.0234,20581.79474,16082.23663,26024.51573,14734.64097,17049.85804,17313.87485,18786.44448,20766.63505,21286.59625,24687.25343,31497.507,32056.52647,33695.96975,37483.19473,45070.67574,48379.42206,47743.79999,54107.69543,55309.86747,54557.3895,53744.8807,52518.81494,51218.51271,51258.65957
인천,순배출량,11066.15457,11461.21881,15082.57005,18069.48636,18837.50655,19444.36891,14864.46477,24748.73789,14245.18932,16577.60277,16838.49745,18332.42148,20294.65814,20798.99435,23960.51944,30760.65067,31305.03151,33447.1074,37300.47664,44932.12294,47318.91448,46612.32973,53013.93455,54923.99415,54191.0857,53743.75619,52496.34266,51252.09893,51109.87152
광주,총배출량,3883.688661,3803.704032,3903.151369,3949.806526,3840.787207,3990.760144,4285.664436,4431.79875,3570.352533,3936.028925,4371.015163,4809.835004,4858.01913,4766.968694,4677.413956,4475.123148,4337.929253,4727.314019,4703.238768,4800.060134,5069.219499,5338.19904,5453.568897,5676.914017,5435.544952,5493.449869,5484.952135,5407.022849,5663.507891
광주,순배출량,3326.334166,3342.601617,3430.175663,3696.777396,3591.074059,3761.214814,4036.957356,4176.240706,3287.309001,3660.014508,3800.211483,4227.246563,4252.392782,4436.984614,4348.090368,4156.126261,4048.742262,4535.4942,4507.558809,4586.388216,5444.689622,5706.293536,5882.417576,5596.511954,5359.806452,5529.349692,5519.617969,5477.325355,5615.525788
대전,총배출량,3748.943041,3807.322813,3947.738879,4152.169156,4201.888292,4502.270942,4745.599172,4919.019197,4071.865178,4652.459974,6262.029812,6073.274036,5892.476651,6039.31959,5913.810165,5530.681585,5614.729601,5746.360808,5763.196092,7337.157996,5964.984973,6095.644838,6157.144832,6226.743626,6192.60554,6416.579791,6465.121309,6148.503879,6465.455803
대전,순배출량,3029.866839,3046.220209,3785.571237,3944.46796,3992.921427,4300.504298,4552.704319,4716.980599,3847.212027,4401.155354,6004.008405,5807.838559,5551.082769,5703.045897,5584.362808,5303.227806,5384.568921,5359.274777,5432.258311,6978.148175,5528.175707,5850.843016,5882.500769,6219.04078,6014.420012,5968.746806,5978.223152,5645.633399,6277.071634
울산,총배출량,0,0,0,0,0,0,0,0,36660.84131,43074.20218,45884.44148,46297.70663,47357.85299,49013.31793,50821.08755,49938.74292,47175.13855,40474.37244,39595.65011,46281.11546,39032.80705,43990.98084,46814.62564,46225.6572,40666.14527,37045.88156,39979.08565,36722.53491,41045.64514
울산,순배출량,0,0,0,0,0,0,0,0,34514.62379,40078.51897,42733.32005,44983.5249,46703.86115,48327.81129,50110.43562,49216.55235,46422.68623,39670.32983,38737.97754,45363.35039,37338.47994,42238.45711,45324.04626,45749.79043,40486.65975,36943.27398,39734.218,36351.18223,40627.46421
세종,총배출량,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290.3886715,1288.55421,1981.933154,2112.571458,2281.900359,2711.077022
세종,순배출량,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1808.091314,-842.6351135,-385.2049629,1660.659032,1847.067971,2464.629537
경기,총배출량,31584.92232,33357.04384,36293.47422,40688.39999,44903.23297,50754.56209,59475.20062,57931.58041,45926.92033,51501.79206,54082.60483,56997.44385,60527.47239,59925.1082,59454.64768,63722.29275,61919.16886,62801.52118,59421.41282,53365.03395,63039.98051,67125.46465,64631.59742,68811.25157,67999.65711,75881.29984,81802.92142,84454.04726,87897.22954
경기,순배출량,29960.12897,31947.52636,30973.14992,34883.83204,38927.23942,49285.39375,58020.5538,56303.7693,43314.88049,48918.91094,51206.87424,53797.71817,56953.53449,56252.17466,51950.90239,56293.7344,54432.14946,63022.8631,60171.52118,54711.97462,55122.36342,58036.14443,55894.45415,66193.69596,65650.36834,72789.981,78429.41628,81775.54946,85220.65761
강원,총배출량,31584.92232,33357.04384,36293.47422,40688.39999,44903.23297,50754.56209,59475.20062,57931.58041,45926.92033,51501.79206,54082.60483,56997.44385,60527.47239,59925.1082,59454.64768,63722.29275,61919.16886,62801.52118,59421.41282,53365.03395,63039.98051,67125.46465,64631.59742,68811.25157,67999.65711,75881.29984,81802.92142,84454.04726,87897.22954
강원,순배출량,29960.12897,31947.52636,30973.14992,34883.83204,38927.23942,49285.39375,58020.5538,56303.7693,43314.88049,48918.91094,51206.87424,53797.71817,56953.53449,56252.17466,51950.90239,56293.7344,54432.14946,63022.8631,60171.52118,54711.97462,55122.36342,58036.14443,55894.45415,66193.69596,65650.36834,72789.981,78429.41628,81775.54946,85220.65761
충북,총배출량,15105.39193,17169.3175,18463.56312,20968.00158,22792.08034,24243.69354,24351.51252,27256.81151,21517.78484,22241.60209,24027.79028,24250.80126,25539.97966,26523.86957,24668.54946,23364.67018,22892.85231,25843.10794,25117.49184,24042.01777,24785.78841,24632.10301,25225.27145,26026.82991,25555.31655,26079.73794,27558.37671,26892.11664,26637.97794
충북,순배출량,13266.5846,15809.62505,17109.69254,19414.76981,20694.3896,22160.47755,22104.60402,24829.11766,18788.28469,19439.24001,21084.95592,21199.895,22298.83188,21278.14589,19394.88415,18192.70594,19493.66098,25318.38325,24974.0336,24468.06778,14973.02744,14805.75422,15444.94423,23436.1949,22660.14756,21887.07824,23447.81116,22912.15797,23601.40216
충남,총배출량,23941.33027,24821.81889,26249.77865,30847.5699,37165.96615,41235.68445,51197.90204,55547.66179,52743.67152,61894.9273,68859.04296,73899.14543,80049.50139,83144.01667,89329.01247,86513.17879,94726.47096,103229.557,114410.1316,110408.4313,130169.385,147946.4663,146249.684,152263.8987,153815.9415,146379.6859,138984.1983,155174.1298,161299.7206
충남,순배출량,22919.5715,23349.10321,24155.42437,28663.02589,35291.94926,39289.25029,49253.00235,53489.63976,50565.30019,59657.16989,66543.65618,71522.78312,75301.60854,78380.1724,84673.16673,84113.91589,91992.2798,98606.05411,109370.5724,105466.248,127768.2704,148378.1118,146239.4269,153570.1725,153015.7847,143702.8583,134451.8949,150636.0123,159495.6969
전북,총배출량,12287.95143,12756.60347,13737.76154,14141.98046,15407.04241,16678.27945,17259.16219,16361.18809,13286.21054,14469.97525,14700.65134,14606.11765,14244.43853,14360.96495,13913.30633,13295.24031,13235.22332,13073.79205,12863.18905,12566.02319,13399.84891,14947.28695,14793.82654,14595.65395,14222.89665,13958.46427,14307.60672,13840.26266,15308.76566
