연도,일반수력,양수,소수력,무연탄,유연탄,중유,가스,복합화력 일반,복합화력 열공급,원자력,신재생,집단,내연력,기타,한전구입,자가소비,사업자+한전구입,사업자+상용자가
2020,3205979,3271019,671251,2094210,185241232,1503944,586627,,,160183721,31056508,45567264,404673,4940046,1676440,23107049,552162160,575269209
2019,2229038.12,3458384.755,559640.9271,2592225.311,216483725.3,1842477.512,0.012,,,145909669.5,30526256.64,46058095.14,578911.9149,1366662.865,1146405.437,22261140,563040304.8,585301444
2018,2748401,3911035,611017,2677040,228975999,5845247,0,0,0,133505261,27176674,47032922,528453,0,798850,22760291,570646507,593406797
2017,2263505,4186353,545316,4426611,227459979,5224768,220183,93839136.55,5779854.45,148426725,24145361.58,36194464.07,513347,,304506,22882019,540440854,560984590
2016,2159149,3787310,687112.6,7760682,201439484,13054770,368541,91064130.62,5858139.13,161995104,18935660,32537144,573196,0,220419,20543736,540440854,560984590
2015,1539297.685,3650320.346,606421.622,7438270.931,199895424.4,8822005.96,222471.548,97375131.11,3223254.052,164762415.9,17317948.6,22018711.2,643163.937,0,576355.319,17438073,528091192.7,545529266
2014,2135681,5068129,615737,8506060,195259331,6838457,568123,104301491,7409973,156406511,14695690.36,18948094.92,655810,0,561813,18407896,521970903,540378798.7
2013,3798240,4104661,491028,8054488,193064345,13940534,3525889,111629509,12770502,138783973,10159658,14403169,740935,0,1680942,20021403,517147873,537169276
2012,3440018,3683262,529021,8767762,190561957,13553420,3452866,97548461,13333473,150327293.3,8617868.866,12912737.09,752070.3172,0,2094121,21627537,509574329,531201866
2011,4178867.7,3232984.573,418799.316,8503982.819,191011864.2,9456338.38,2232618,90452986.05,11026397.52,154723106.8,7592387.053,12429066.77,820532.999,0,813433.581,21274450,496893365.8,518167816
2010,3339560.27,2789933.751,342408.513,8359872.741,189927487.1,10874370.52,2287541,81563808.44,12448329.37,148595711.6,4478057.639,8080232.932,730695.242,0,842195.905,20368158,474660205,495028363
2009,2596099.968,2827990.827,217071.277,7977657.858,185825633.1,11970099.89,761682,55108130.29,9377878.674,147770806.9,1790608.507,5826997.635,696952.56,0,856135.417,18843716,433603744.9,452447460.9
2008,2852126.862,2492539.199,217984.485,6928993.317,167227036.6,7981563.429,1517763,63811958.8,10707392.92,150957935.6,1373424.825,5054422.41,502707.656,0,729276.543,20255832,422355125.7,442610957.7
2007,3475268.653,1410812.786,156380.554,6061544.768,149623092,15702736.33,2027701,65836943.08,10568474.86,142937163.7,830824.244,3085139.65,578356.302,0,830063,22282788,403124501.5,425407288.9
2006,3326281.367,1751083.255,141256.46,5709387.877,134636585.1,14306787.5,1258155,57362089.38,9776252.31,148748887.4,511223.189,2596730.89,677295.853,0,378693,21808234,381180709.4,402988942.6
