process,type1,type2,type3,type4,type5,type6,
ELC11PP-ANS1E,전력,발전,석탄,석탄,석탄,석탄,
ELC14PP-BSCTP1E,전력,발전,석탄,석탄,석탄,석탄,
ELC23PP-KES1E,전력,발전,석유,석유,석유,석유,
ELC24PP-DSSCC1E,전력,발전,석유,석유,석유,석유,
ELC24PP-DSSCT1E,전력,발전,석유,석유,석유,석유,
ELC27PP-BKCTP1E,전력,발전,석유,석유,석유,석유,
ELC27PP-BKCCT1E,전력,발전,석유,석유,석유,석유,
ELC51PP-NGLCT1E,전력,발전,천연가스,천연가스CT,천연가스CT,천연가스CT,
ELC51PP-NGLCC1E,전력,발전,천연가스,천연가스CC,천연가스CC,천연가스CC,
ELC62PP-NURPWR1E,전력,발전,원자력,원자력,원자력,원자력,
ELC62PP-NUROPR1E,전력,발전,원자력,원자력,원자력,원자력,
ELC63PP-EUROPR1E,전력,발전,원자력,원자력,원자력,원자력,
ELC62PP-NURSMR1N,전력,발전,원자력,원자력,원자력,원자력,
ELC64PP-GHY1E,전력,발전,신재생,기타재생,기타재생,수력,
ELC66PP-SHY04MW1E,전력,발전,신재생,기타재생,기타재생,수력,
ELC66PP-SHY3MW1E,전력,발전,신재생,기타재생,기타재생,수력,
ELC82PP-SPV1E,전력,발전,신재생,태양광,태양광,태양광,
ELC83PP-BMS1E,전력,발전,신재생,기타재생,기타재생,바이오,
ELC83PP-BMSLFG1E,전력,발전,신재생,기타재생,기타재생,바이오,
ELC89PP-WND1E,전력,발전,신재생,풍력,풍력,풍력,
ELC93PP-HDGFEC1E,전력,발전,신재생,신에너지,신에너지,연료전지,
ELC93PP-HDGMCFC1E,전력,발전,신재생,신에너지,신에너지,연료전지,
ELC93PP-HDGMCFC1N,전력,발전,신재생,신에너지,신에너지,연료전지,
ELC93PP-HDGSOFC1N,전력,발전,신재생,신에너지,신에너지,연료전지,
ELC90PP-MSW1E,전력,발전,신재생,기타재생,기타재생,폐기물,
ELC90PP-MSWOFF1E,전력,발전,신재생,기타재생,기타재생,부생가스,
ELC92PP-OCE1E,전력,발전,신재생,기타재생,기타재생,해양,
ELC14PP-IGCC1E,전력,발전,신재생,신에너지,신에너지,IGCC,
ELC-REN-SPV-OUT,전력,발전,Dummy,Dummy,Dummy,Dummy,
ELC-REN-WND-OUT,전력,발전,Dummy,Dummy,Dummy,Dummy,
