year,sido,gungu,type, 1 , 2 , 3 , 4 , 5 , 6 , 7 
2021,서울특별시,종로구,주택용," 25,471,662 "," 23,888,545 "," 20,316,994 "," 20,139,886 "," 19,260,662 "," 21,028,845 "," 26,187,114 "
2021,서울특별시,종로구,일반용," 113,082,168 "," 103,460,106 "," 90,283,166 "," 84,892,275 "," 82,623,201 "," 95,379,420 "," 111,593,855 "
2021,서울특별시,종로구,교육용," 10,072,542 "," 9,169,051 "," 7,446,466 "," 6,761,511 "," 6,071,807 "," 7,468,499 "," 8,634,914 "
2021,서울특별시,종로구,산업용," 6,243,796 "," 6,435,682 "," 5,950,803 "," 6,422,580 "," 5,661,896 "," 5,860,405 "," 6,473,303 "
2021,서울특별시,종로구,농사용," 5,390 "," 5,073 "," 3,401 "," 2,288 "," 2,830 ", 730 , 510 
2021,서울특별시,종로구,가로등," 854,661 "," 785,528 "," 719,415 "," 696,693 "," 638,041 "," 608,905 "," 608,843 "
2021,서울특별시,종로구,심 야," 2,939,189 "," 2,716,195 "," 2,099,303 "," 1,961,918 "," 2,820,479 "," 4,790,474 "," 7,136,647 "
2021,서울특별시,종로구,합 계," 158,669,408 "," 146,460,180 "," 126,819,548 "," 120,877,151 "," 117,078,916 "," 135,137,278 "," 160,635,186 "
2021,서울특별시,중구,주택용," 19,904,793 "," 18,446,831 "," 15,812,112 "," 15,735,425 "," 15,181,508 "," 16,498,687 "," 21,750,662 "
2021,서울특별시,중구,일반용," 159,415,979 "," 142,247,535 "," 127,762,984 "," 120,223,512 "," 119,373,878 "," 140,631,655 "," 166,021,926 "
2021,서울특별시,중구,교육용," 5,363,435 "," 4,673,978 "," 3,780,502 "," 3,008,909 "," 2,766,598 "," 3,295,380 "," 3,858,309 "
2021,서울특별시,중구,산업용," 21,411,379 "," 20,593,591 "," 17,640,709 "," 17,777,695 "," 16,167,146 "," 17,657,720 "," 19,850,771 "
2021,서울특별시,중구,가로등," 966,868 "," 908,620 "," 823,830 "," 798,664 "," 757,591 "," 739,916 "," 721,887 "
2021,서울특별시,중구,심 야," 670,149 "," 676,185 "," 763,057 "," 1,360,051 "," 3,163,883 "," 7,372,606 "," 10,922,119 "
2021,서울특별시,중구,합 계," 207,732,603 "," 187,546,740 "," 166,583,194 "," 158,904,256 "," 157,410,604 "," 186,195,964 "," 223,125,674 "
2021,서울특별시,용산구,주택용," 40,415,268 "," 38,243,561 "," 32,080,030 "," 32,583,530 "," 31,338,304 "," 33,899,356 "," 43,501,644 "
2021,서울특별시,용산구,일반용," 72,249,035 "," 68,252,796 "," 57,872,123 "," 54,567,649 "," 54,155,204 "," 62,943,985 "," 74,345,968 "
2021,서울특별시,용산구,교육용," 5,464,981 "," 4,952,133 "," 4,258,500 "," 3,738,110 "," 3,282,546 "," 3,815,827 "," 4,574,222 "
2021,서울특별시,용산구,산업용," 9,428,711 "," 9,053,427 "," 8,403,415 "," 8,574,053 "," 8,384,700 "," 8,793,462 "," 9,525,565 "
2021,서울특별시,용산구,농사용," 1,664 "," 5,715 "," 31,755 "," 74,851 "," 80,539 "," 83,216 "," 100,352 "
2021,서울특별시,용산구,가로등," 1,199,821 "," 1,068,127 "," 1,011,096 "," 987,559 "," 882,964 "," 827,803 "," 822,173 "
2021,서울특별시,용산구,심 야," 750,665 "," 740,734 "," 574,875 "," 472,012 "," 778,037 "," 1,611,495 "," 2,453,214 "
2021,서울특별시,용산구,합 계," 129,510,145 "," 122,316,493 "," 104,231,794 "," 100,997,764 "," 98,902,294 "," 111,975,144 "," 135,323,138 "
2021,서울특별시,성동구,주택용," 41,894,275 "," 40,906,633 "," 34,399,323 "," 35,101,698 "," 33,023,810 "," 35,156,533 "," 41,577,763 "
2021,서울특별시,성동구,일반용," 72,117,207 "," 66,485,250 "," 55,979,392 "," 51,986,307 "," 50,533,990 "," 57,959,415 "," 69,269,764 "
2021,서울특별시,성동구,교육용," 8,132,140 "," 6,943,043 "," 6,312,857 "," 5,327,429 "," 5,033,123 "," 6,063,456 "," 7,175,889 "
2021,서울특별시,성동구,산업용," 78,210,046 "," 74,753,523 "," 71,575,030 "," 72,036,164 "," 71,141,971 "," 73,531,222 "," 79,566,573 "
2021,서울특별시,성동구,농사용," 4,964 "," 5,358 "," 5,557 "," 6,200 "," 5,733 "," 6,342 "," 7,123 "
2021,서울특별시,성동구,가로등," 1,019,534 "," 952,765 "," 865,126 "," 815,109 "," 787,266 "," 729,753 "," 705,516 "
2021,서울특별시,성동구,심 야," 435,390 "," 437,265 "," 307,328 "," 205,400 "," 152,772 "," 252,909 "," 345,020 "
2021,서울특별시,성동구,합 계," 201,813,556 "," 190,483,837 "," 169,444,613 "," 165,478,307 "," 160,678,665 "," 173,699,630 "," 198,647,648 "
2021,서울특별시,동대문구,주택용," 48,614,580 "," 46,784,339 "," 39,772,869 "," 40,688,947 "," 38,554,577 "," 41,033,350 "," 48,955,689 "
2021,서울특별시,동대문구,일반용," 59,583,431 "," 57,126,941 "," 46,493,519 "," 43,477,297 "," 40,955,687 "," 46,115,548 "," 54,874,774 "
2021,서울특별시,동대문구,교육용," 9,786,366 "," 8,602,522 "," 7,070,290 "," 5,936,832 "," 5,208,961 "," 6,011,015 "," 7,181,438 "
2021,서울특별시,동대문구,산업용," 15,598,459 "," 15,147,018 "," 12,903,858 "," 13,137,212 "," 12,429,612 "," 13,183,955 "," 15,092,190 "
2021,서울특별시,동대문구,농사용," 16,598 "," 15,509 "," 11,876 "," 7,326 "," 6,469 "," 6,097 "," 4,814 "
2021,서울특별시,동대문구,가로등," 969,004 "," 899,492 "," 836,395 "," 757,984 "," 714,626 "," 629,094 "," 616,427 "
2021,서울특별시,동대문구,심 야," 766,996 "," 663,869 "," 471,701 "," 314,470 "," 368,549 "," 568,866 "," 851,488 "
2021,서울특별시,동대문구,합 계," 135,335,434 "," 129,239,690 "," 107,560,508 "," 104,320,068 "," 98,238,481 "," 107,547,925 "," 127,576,820 "
2021,서울특별시,성북구,주택용," 58,280,980 "," 56,737,808 "," 48,199,426 "," 49,635,396 "," 47,015,957 "," 49,094,277 "," 57,080,497 "
2021,서울특별시,성북구,일반용," 49,957,697 "," 48,667,389 "," 39,520,033 "," 37,205,525 "," 35,432,377 "," 39,664,056 "," 46,659,383 "
2021,서울특별시,성북구,교육용," 17,822,685 "," 16,009,963 "," 12,972,624 "," 11,466,636 "," 10,449,613 "," 12,520,105 "," 14,092,917 "
2021,서울특별시,성북구,산업용," 9,054,368 "," 8,657,247 "," 8,112,602 "," 8,168,224 "," 7,965,887 "," 8,567,557 "," 9,438,769 "
2021,서울특별시,성북구,농사용," 3,273 "," 3,507 "," 2,992 "," 3,326 "," 3,583 "," 3,937 "," 4,857 "
2021,서울특별시,성북구,가로등," 1,283,626 "," 1,168,913 "," 1,076,790 "," 1,024,461 "," 935,622 "," 879,999 "," 877,162 "
2021,서울특별시,성북구,심 야," 2,200,895 "," 2,052,272 "," 1,507,866 "," 1,068,275 "," 808,269 "," 888,654 "," 963,812 "
2021,서울특별시,성북구,합 계," 138,603,524 "," 133,297,099 "," 111,392,333 "," 108,571,843 "," 102,611,308 "," 111,618,585 "," 129,117,397 "
2021,서울특별시,도봉구,주택용," 41,160,143 "," 39,293,514 "," 33,400,507 "," 34,390,171 "," 32,541,320 "," 33,874,547 "," 40,646,763 "
2021,서울특별시,도봉구,일반용," 32,075,843 "," 31,152,993 "," 25,346,624 "," 23,979,261 "," 22,797,867 "," 25,747,350 "," 30,471,019 "
2021,서울특별시,도봉구,교육용," 3,993,448 "," 3,887,729 "," 2,883,249 "," 2,290,051 "," 1,667,127 "," 1,802,918 "," 2,251,660 "
2021,서울특별시,도봉구,산업용," 4,964,639 "," 4,776,583 "," 4,216,312 "," 4,614,426 "," 4,345,104 "," 4,566,805 "," 4,950,502 "
2021,서울특별시,도봉구,농사용," 38,831 "," 37,899 "," 33,212 "," 28,452 "," 20,576 "," 18,653 "," 18,734 "
2021,서울특별시,도봉구,가로등," 606,042 "," 558,936 "," 527,445 "," 505,627 "," 469,351 "," 450,004 "," 448,697 "
2021,서울특별시,도봉구,심 야," 560,358 "," 549,718 "," 408,324 "," 289,335 "," 210,391 "," 246,688 "," 312,475 "
2021,서울특별시,도봉구,합 계," 83,399,304 "," 80,257,372 "," 66,815,673 "," 66,097,323 "," 62,051,736 "," 66,706,965 "," 79,099,850 "
2021,서울특별시,은평구,주택용," 62,451,621 "," 60,151,849 "," 51,608,625 "," 52,656,633 "," 49,864,140 "," 52,313,599 "," 61,857,834 "
2021,서울특별시,은평구,일반용," 50,312,651 "," 48,664,035 "," 39,671,407 "," 38,293,087 "," 36,273,472 "," 40,943,247 "," 47,840,640 "
2021,서울특별시,은평구,교육용," 4,552,073 "," 4,206,249 "," 3,275,192 "," 2,711,374 "," 1,992,692 "," 2,272,810 "," 2,940,370 "
2021,서울특별시,은평구,산업용," 15,904,300 "," 16,198,834 "," 14,448,459 "," 14,941,211 "," 14,429,515 "," 15,208,227 "," 16,322,526 "
2021,서울특별시,은평구,농사용," 23,548 "," 24,512 "," 21,211 "," 20,096 "," 17,741 "," 17,957 "," 16,772 "
2021,서울특별시,은평구,가로등," 784,218 "," 704,978 "," 654,246 "," 606,276 "," 557,751 "," 517,573 "," 517,721 "
2021,서울특별시,은평구,심 야," 1,176,220 "," 1,113,133 "," 805,063 "," 570,265 "," 620,890 "," 573,406 "," 529,676 "
2021,서울특별시,은평구,합 계," 135,204,631 "," 131,063,590 "," 110,484,203 "," 109,798,942 "," 103,756,201 "," 111,846,819 "," 130,025,539 "
2021,서울특별시,서대문구,주택용," 42,908,364 "," 40,096,738 "," 35,093,009 "," 35,262,850 "," 33,983,790 "," 35,947,837 "," 46,171,303 "
2021,서울특별시,서대문구,일반용," 51,205,789 "," 48,017,467 "," 41,184,512 "," 39,096,905 "," 38,499,162 "," 44,262,703 "," 52,308,543 "
2021,서울특별시,서대문구,교육용," 17,828,658 "," 14,971,458 "," 13,887,202 "," 11,758,177 "," 11,645,602 "," 13,923,135 "," 16,557,684 "
2021,서울특별시,서대문구,산업용," 2,892,632 "," 2,807,048 "," 2,598,827 "," 2,537,674 "," 2,590,798 "," 2,672,110 "," 2,815,494 "
2021,서울특별시,서대문구,농사용," 2,933 "," 3,120 "," 1,817 "," 1,931 "," 2,056 "," 2,294 "," 2,434 "
2021,서울특별시,서대문구,가로등," 783,060 "," 718,962 "," 655,918 "," 600,640 "," 541,412 "," 498,789 "," 495,963 "
2021,서울특별시,서대문구,심 야," 714,313 "," 651,177 "," 468,671 "," 366,282 "," 456,181 "," 582,079 "," 711,556 "
2021,서울특별시,서대문구,합 계," 116,335,749 "," 107,265,970 "," 93,889,956 "," 89,624,459 "," 87,719,001 "," 97,888,947 "," 119,062,977 "
2021,서울특별시,마포구,주택용," 56,000,595 "," 53,174,163 "," 45,124,351 "," 45,881,223 "," 43,793,603 "," 47,649,890 "," 60,111,448 "
2021,서울특별시,마포구,일반용," 119,661,592 "," 113,150,370 "," 93,553,886 "," 90,452,732 "," 89,053,475 "," 100,021,866 "," 116,333,585 "
2021,서울특별시,마포구,교육용," 6,576,110 "," 5,692,298 "," 4,802,907 "," 3,957,006 "," 3,506,745 "," 4,250,502 "," 5,007,154 "
2021,서울특별시,마포구,산업용," 10,627,225 "," 10,232,211 "," 11,951,134 "," 13,298,279 "," 13,403,215 "," 15,736,167 "," 18,802,796 "
2021,서울특별시,마포구,농사용," 6,301 "," 6,745 "," 5,793 "," 5,410 "," 6,026 "," 6,096 "," 6,216 "
2021,서울특별시,마포구,가로등," 1,279,861 "," 1,171,706 "," 1,073,608 "," 1,035,886 "," 939,504 "," 897,772 "," 881,796 "
2021,서울특별시,마포구,심 야," 1,631,420 "," 1,473,210 "," 1,138,304 "," 619,280 "," 926,114 "," 1,564,496 "," 2,463,708 "
2021,서울특별시,마포구,합 계," 195,783,104 "," 184,900,703 "," 157,649,983 "," 155,249,816 "," 151,628,682 "," 170,126,789 "," 203,606,703 "
2021,서울특별시,강서구,주택용," 75,786,143 "," 73,043,932 "," 62,987,443 "," 64,661,177 "," 61,479,333 "," 65,169,573 "," 78,738,253 "
2021,서울특별시,강서구,일반용," 132,076,237 "," 119,572,702 "," 104,519,356 "," 98,881,701 "," 97,798,120 "," 111,346,707 "," 132,486,083 "
2021,서울특별시,강서구,교육용," 5,919,499 "," 5,225,955 "," 4,344,956 "," 3,620,037 "," 2,786,352 "," 3,143,018 "," 3,951,003 "
2021,서울특별시,강서구,산업용," 30,192,175 "," 28,003,516 "," 28,504,504 "," 27,346,381 "," 26,781,006 "," 26,745,155 "," 28,048,728 "
2021,서울특별시,강서구,농사용," 358,805 "," 364,482 "," 417,496 "," 411,564 "," 444,127 "," 494,747 "," 568,882 "
2021,서울특별시,강서구,가로등," 1,518,555 "," 1,337,357 "," 1,193,648 "," 1,169,142 "," 1,035,817 "," 981,449 "," 968,490 "
2021,서울특별시,강서구,심 야," 1,131,972 "," 1,067,724 "," 833,449 "," 1,097,342 "," 1,205,791 "," 1,471,275 "," 2,201,820 "
2021,서울특별시,강서구,합 계," 246,983,386 "," 228,615,668 "," 202,800,852 "," 197,187,344 "," 191,530,546 "," 209,351,924 "," 246,963,259 "
2021,서울특별시,구로구,주택용," 57,181,021 "," 54,448,587 "," 46,814,027 "," 47,487,861 "," 45,190,752 "," 47,582,991 "," 57,938,799 "
2021,서울특별시,구로구,일반용," 82,091,877 "," 75,361,945 "," 60,762,264 "," 56,339,969 "," 50,747,182 "," 64,177,340 "," 77,911,820 "
2021,서울특별시,구로구,교육용," 4,405,548 "," 3,749,917 "," 3,000,577 "," 2,389,572 "," 1,891,189 "," 2,245,119 "," 2,625,374 "
2021,서울특별시,구로구,산업용," 35,117,394 "," 32,683,450 "," 26,437,838 "," 26,710,307 "," 25,444,476 "," 26,813,914 "," 28,086,120 "
2021,서울특별시,구로구,농사용," 35,406 "," 33,850 "," 25,783 "," 25,001 "," 23,746 "," 24,352 "," 26,253 "
2021,서울특별시,구로구,가로등," 1,063,073 "," 1,024,763 "," 932,457 "," 891,063 "," 861,854 "," 775,444 "," 738,091 "
2021,서울특별시,구로구,심 야," 589,969 "," 606,056 "," 467,800 "," 361,054 "," 563,567 "," 1,420,286 "," 2,113,878 "
2021,서울특별시,구로구,합 계," 180,484,288 "," 167,908,568 "," 138,440,746 "," 134,204,827 "," 124,722,766 "," 143,039,446 "," 169,440,335 "
2021,서울특별시,영등포구,주택용," 58,879,574 "," 55,839,953 "," 48,349,162 "," 48,273,363 "," 46,442,997 "," 49,714,518 "," 63,603,236 "
2021,서울특별시,영등포구,일반용," 157,445,380 "," 144,952,386 "," 131,349,431 "," 124,012,879 "," 122,675,679 "," 140,999,379 "," 166,148,385 "
2021,서울특별시,영등포구,교육용," 3,123,004 "," 2,929,675 "," 2,352,335 "," 1,908,917 "," 1,420,758 "," 1,497,670 "," 1,888,047 "
2021,서울특별시,영등포구,산업용," 21,187,109 "," 20,125,262 "," 18,922,137 "," 18,077,817 "," 17,800,529 "," 18,881,559 "," 20,685,010 "
2021,서울특별시,영등포구,농사용," 2,905 "," 3,225 "," 2,348 "," 2,213 "," 1,639 "," 2,081 "," 1,932 "
2021,서울특별시,영등포구,가로등," 1,482,620 "," 1,392,408 "," 1,248,745 "," 1,183,403 "," 1,100,754 "," 1,011,576 "," 983,416 "
2021,서울특별시,영등포구,심 야," 1,965,855 "," 1,897,010 "," 2,152,409 "," 3,147,640 "," 5,212,845 "," 9,668,018 "," 13,082,865 "
2021,서울특별시,영등포구,합 계," 244,086,447 "," 227,139,919 "," 204,376,567 "," 196,606,232 "," 194,655,201 "," 221,774,801 "," 266,392,891 "
2021,서울특별시,동작구,주택용," 50,206,550 "," 48,475,187 "," 40,801,427 "," 42,331,027 "," 40,363,404 "," 42,676,117 "," 52,536,817 "
