source,date,MWh
LNG,2016-01-01,3785.661643
바이오가스,2016-01-01,60.4848
바이오매스,2016-01-01,0
연료전지,2016-01-01,467.62212
태양광,2016-01-01,15.453743
폐기물,2016-01-01,325.446229
LNG,2016-01-02,3723.676308
바이오가스,2016-01-02,61.008
바이오매스,2016-01-02,0
연료전지,2016-01-02,468.112932
태양광,2016-01-02,18.003877
폐기물,2016-01-02,307.99908
LNG,2016-01-03,3703.364412
바이오가스,2016-01-03,60.9456
바이오매스,2016-01-03,0
연료전지,2016-01-03,467.981323
태양광,2016-01-03,13.510042
폐기물,2016-01-03,317.233162
LNG,2016-01-04,3711.553165
바이오가스,2016-01-04,60.8016
바이오매스,2016-01-04,0
연료전지,2016-01-04,468.085353
태양광,2016-01-04,40.201359
폐기물,2016-01-04,316.87578
LNG,2016-01-05,3925.757075
바이오가스,2016-01-05,60.864
바이오매스,2016-01-05,0
연료전지,2016-01-05,467.862473
태양광,2016-01-05,36.718643
폐기물,2016-01-05,311.522469
LNG,2016-01-06,3935.919007
바이오가스,2016-01-06,60.6624
바이오매스,2016-01-06,0
연료전지,2016-01-06,467.35905
태양광,2016-01-06,15.170821
폐기물,2016-01-06,314.768659
LNG,2016-01-07,4023.807395
바이오가스,2016-01-07,60.8688
바이오매스,2016-01-07,0
연료전지,2016-01-07,467.348591
태양광,2016-01-07,43.41437
폐기물,2016-01-07,324.162094
LNG,2016-01-08,4022.042209
바이오가스,2016-01-08,60.984
바이오매스,2016-01-08,0
연료전지,2016-01-08,467.372801
태양광,2016-01-08,43.857701
폐기물,2016-01-08,322.367444
LNG,2016-01-09,3825.666399
바이오가스,2016-01-09,61.0224
바이오매스,2016-01-09,0
연료전지,2016-01-09,467.35974
태양광,2016-01-09,39.655585
폐기물,2016-01-09,313.122575
LNG,2016-01-10,3728.940507
바이오가스,2016-01-10,60.8832
바이오매스,2016-01-10,0
연료전지,2016-01-10,467.803946
태양광,2016-01-10,40.415019
폐기물,2016-01-10,309.19115
LNG,2016-01-11,4143.911979
바이오가스,2016-01-11,56.448
바이오매스,2016-01-11,0
연료전지,2016-01-11,467.421921
태양광,2016-01-11,42.231572
폐기물,2016-01-11,316.869641
LNG,2016-01-12,4117.014418
바이오가스,2016-01-12,60.3024
바이오매스,2016-01-12,0
