"","process","scenario","year","GWh_sum"
"1","ESS","OSP_BASE","2017",0
"2","ESS","OSP_BASE","2020",0
"3","ESS","OSP_BASE","2025",0
"4","ESS","OSP_BASE","2030",0
"5","ESS","OSP_BASE","2035",0
"6","ESS","OSP_BASE","2040",0
"7","ESS","OSP_BASE","2045",448.6404757
"8","ESS","OSP_BASE","2050",1159.549691
"9","기타재생","OSP_BASE","2017",1486.104225092
"10","기타재생","OSP_BASE","2020",1879.592143026
"11","기타재생","OSP_BASE","2025",1987.372730226
"12","기타재생","OSP_BASE","2030",2061.236349426
"13","기타재생","OSP_BASE","2035",2229.012284466
"14","기타재생","OSP_BASE","2040",2229.012284466
"15","기타재생","OSP_BASE","2045",2229.012284466
"16","기타재생","OSP_BASE","2050",2229.012284466
"17","석유","OSP_BASE","2017",277.076774436
"18","석유","OSP_BASE","2020",164.76016644
"19","석유","OSP_BASE","2025",83.28985949
"20","석유","OSP_BASE","2030",164.76016644
"21","석유","OSP_BASE","2035",0
"22","석유","OSP_BASE","2040",0
"23","석유","OSP_BASE","2045",0
"24","석유","OSP_BASE","2050",0
"25","석탄","OSP_BASE","2017",20359.7906381
"26","석탄","OSP_BASE","2020",20373.1756601
"27","석탄","OSP_BASE","2025",18675.3528961
"28","석탄","OSP_BASE","2030",14469.0619221
"29","석탄","OSP_BASE","2035",12153.795091
"30","석탄","OSP_BASE","2040",9056.829206
"31","석탄","OSP_BASE","2045",8115.117505
"32","석탄","OSP_BASE","2050",3760.2813183
"33","신에너지","OSP_BASE","2017",233.4491227
"34","신에너지","OSP_BASE","2020",737.9979574
"35","신에너지","OSP_BASE","2025",1279.4273511
"36","신에너지","OSP_BASE","2030",2224.8994883
"37","신에너지","OSP_BASE","2035",2441.428488
"38","신에너지","OSP_BASE","2040",3577.6176344
"39","신에너지","OSP_BASE","2045",3577.6176344
"40","신에너지","OSP_BASE","2050",4251.9250422
"41","양수","OSP_BASE","2017",0
"42","양수","OSP_BASE","2020",360
"43","양수","OSP_BASE","2025",360
"44","양수","OSP_BASE","2030",398.29787234
"45","양수","OSP_BASE","2035",497.8723404
"46","양수","OSP_BASE","2040",497.8723404
"47","양수","OSP_BASE","2045",612.3897
"48","양수","OSP_BASE","2050",561.3936378
"49","원자력","OSP_BASE","2017",12722.404137
"50","원자력","OSP_BASE","2020",13755.9693806
"51","원자력","OSP_BASE","2025",14998.460975
"52","원자력","OSP_BASE","2030",12069.918346
"53","원자력","OSP_BASE","2035",10294.930354
"54","원자력","OSP_BASE","2040",9111.605026
"55","원자력","OSP_BASE","2045",6744.95437
"56","원자력","OSP_BASE","2050",6744.95437
"57","천연가스CC","OSP_BASE","2017",4600.7170367
"58","천연가스CC","OSP_BASE","2020",3536.8340762
"59","천연가스CC","OSP_BASE","2025",2231.6782515
"60","천연가스CC","OSP_BASE","2030",8176.4094831
"61","천연가스CC","OSP_BASE","2035",10659.8454468
"62","천연가스CC","OSP_BASE","2040",12619.115818
"63","천연가스CC","OSP_BASE","2045",11576.618584
"64","천연가스CC","OSP_BASE","2050",11848.000567
"65","태양광","OSP_BASE","2017",593.2285051
"66","태양광","OSP_BASE","2020",1678.8336021
"67","태양광","OSP_BASE","2025",3682.7031141
"68","태양광","OSP_BASE","2030",3985.8616191
"69","태양광","OSP_BASE","2035",5346.7351071
"70","태양광","OSP_BASE","2040",9529.680174
"71","태양광","OSP_BASE","2045",13209.8477
"72","태양광","OSP_BASE","2050",17630.52041
"73","풍력","OSP_BASE","2017",185.9827939
"74","풍력","OSP_BASE","2020",225.38809692
"75","풍력","OSP_BASE","2025",1124.0917786
"76","풍력","OSP_BASE","2030",1388.0831686
"77","풍력","OSP_BASE","2035",3842.1552716
"78","풍력","OSP_BASE","2040",4679.048742
"79","풍력","OSP_BASE","2045",4679.048742
"80","풍력","OSP_BASE","2050",4679.048742
"81","해상풍력","OSP_BASE","2017",0
"82","해상풍력","OSP_BASE","2020",79.7504196
"83","해상풍력","OSP_BASE","2025",525.8429942
"84","해상풍력","OSP_BASE","2030",2066.579861
"85","해상풍력","OSP_BASE","2035",2066.579861
"86","해상풍력","OSP_BASE","2040",2066.579861
"87","해상풍력","OSP_BASE","2045",2066.579861
"88","해상풍력","OSP_BASE","2050",2066.579861
"89","ESS","OSP_CN_REN_10","2017",0
"90","ESS","OSP_CN_REN_10","2020",0
"91","ESS","OSP_CN_REN_10","2025",0
"92","ESS","OSP_CN_REN_10","2030",0
"93","ESS","OSP_CN_REN_10","2035",0
"94","ESS","OSP_CN_REN_10","2040",107.8371155
"95","ESS","OSP_CN_REN_10","2045",122.3423177
"96","ESS","OSP_CN_REN_10","2050",1414.827343
"97","기타재생","OSP_CN_REN_10","2017",1486.104225092
"98","기타재생","OSP_CN_REN_10","2020",1879.592143026
"99","기타재생","OSP_CN_REN_10","2025",1987.372730226
"100","기타재생","OSP_CN_REN_10","2030",2061.236349426
"101","기타재생","OSP_CN_REN_10","2035",2229.012284466
"102","기타재생","OSP_CN_REN_10","2040",2229.012284466
"103","기타재생","OSP_CN_REN_10","2045",2229.012284466
"104","기타재생","OSP_CN_REN_10","2050",2229.012284466
"105","석유","OSP_CN_REN_10","2017",277.076774436
"106","석유","OSP_CN_REN_10","2020",164.76016644
"107","석유","OSP_CN_REN_10","2025",83.28985949
"108","석유","OSP_CN_REN_10","2030",89.413578205
"109","석유","OSP_CN_REN_10","2035",0
"110","석유","OSP_CN_REN_10","2040",0
"111","석유","OSP_CN_REN_10","2045",0
"112","석유","OSP_CN_REN_10","2050",0
"113","석탄","OSP_CN_REN_10","2017",20359.7906381
"114","석탄","OSP_CN_REN_10","2020",20373.1756601
"115","석탄","OSP_CN_REN_10","2025",19030.1823961
"116","석탄","OSP_CN_REN_10","2030",14304.03836964
"117","석탄","OSP_CN_REN_10","2035",11897.533555
"118","석탄","OSP_CN_REN_10","2040",8955.510932
"119","석탄","OSP_CN_REN_10","2045",5653.3180636
"120","석탄","OSP_CN_REN_10","2050",1391.1630789
